Wvlgth Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Zonal_ground_reflectance
.2800E+03 .3536E-19 .2449E-25 .3917E-19 .3338E-01
.2805E+03 .9904E-18 .1139E-23 .1097E-17 .3348E-01
.2810E+03 .5044E-17 .7064E-23 .5587E-17 .3359E-01
.2815E+03 .3150E-18 .3149E-21 .3486E-18 .3370E-01
.2820E+03 .1396E-17 .3119E-20 .1543E-17 .3381E-01
.2825E+03 .3976E-17 .1386E-19 .4389E-17 .3391E-01
.2830E+03 .1331E-16 .7183E-19 .1466E-16 .3402E-01
.2835E+03 .2201E-16 .1467E-18 .2422E-16 .3413E-01
.2840E+03 .3487E-15 .5388E-17 .3804E-15 .3422E-01
.2845E+03 .9878E-15 .2185E-16 .1070E-14 .3433E-01
.2850E+03 .2008E-14 .6098E-16 .2158E-14 .3443E-01
.2855E+03 .1267E-13 .5755E-15 .1341E-13 .3452E-01
.2860E+03 .5467E-13 .2935E-14 .5738E-13 .3462E-01
.2865E+03 .2702E-12 .1995E-13 .2776E-12 .3471E-01
.2870E+03 .8183E-12 .7608E-13 .8240E-12 .3479E-01
.2875E+03 .3327E-11 .4105E-12 .3241E-11 .3487E-01
.2880E+03 .1020E-10 .2270E-11 .8835E-11 .3486E-01
.2885E+03 .4113E-10 .1005E-10 .3467E-10 .3495E-01
.2890E+03 .1407E-09 .3764E-10 .1150E-09 .3503E-01
.2895E+03 .5396E-09 .1582E-09 .4263E-09 .3510E-01
.2900E+03 .1798E-08 .5667E-09 .1378E-08 .3518E-01
.2905E+03 .4255E-08 .1423E-08 .3171E-08 .3526E-01
.2910E+03 .1082E-07 .3858E-08 .7799E-08 .3534E-01
.2915E+03 .3803E-07 .1457E-07 .2633E-07 .3541E-01
.2920E+03 .1026E-06 .4135E-07 .6889E-07 .3549E-01
.2925E+03 .1619E-06 .6630E-07 .1075E-06 .3559E-01
.2930E+03 .4022E-06 .1667E-06 .2648E-06 .3568E-01
.2935E+03 .1195E-05 .4956E-06 .7867E-06 .3579E-01
.2940E+03 .2175E-05 .8965E-06 .1438E-05 .3590E-01
.2945E+03 .3483E-05 .1673E-05 .2044E-05 .3591E-01
.2950E+03 .6758E-05 .3166E-05 .4054E-05 .3603E-01
.2955E+03 .1890E-04 .8375E-05 .1186E-04 .3617E-01
.2960E+03 .3105E-04 .1601E-04 .1703E-04 .3617E-01
.2965E+03 .4265E-04 .2209E-04 .2329E-04 .3627E-01
.2970E+03 .5684E-04 .2951E-04 .3096E-04 .3637E-01
.2975E+03 .1486E-03 .7689E-04 .8118E-04 .3648E-01
.2980E+03 .2288E-03 .1178E-03 .1257E-03 .3659E-01
.2985E+03 .2260E-03 .1157E-03 .1249E-03 .3670E-01
.2990E+03 .4894E-03 .2488E-03 .2723E-03 .3681E-01
.2995E+03 .7840E-03 .3899E-03 .4456E-03 .3694E-01
.3000E+03 .8462E-03 .4157E-03 .4864E-03 .3705E-01
.3005E+03 .1201E-02 .5810E-03 .6996E-03 .3767E-01
.3010E+03 .2096E-02 .9821E-03 .1256E-02 .3829E-01
