 SMOOTHED RESULTS TO SIMULATE A  1.20 nm FWHM INSTRUMENT AND A WAVELENGTH STEP OF  1.0 nm,
 Shape selected: Gaussian    
   WVLGTH  ET_SPCTRUM  BEAM_NORMAL BEAM_NORM+  GLOB_HORIZ  GLOBL_TILT

    290.0  0.5454E+00  0.4030E-05  0.4053E-05  0.5985E-05  0.5985E-05
    291.0  0.6030E+00  0.1487E-04  0.1495E-04  0.2177E-04  0.2177E-04
    292.0  0.5667E+00  0.4384E-04  0.4409E-04  0.6400E-04  0.6400E-04
    293.0  0.5401E+00  0.1131E-03  0.1137E-03  0.1638E-03  0.1638E-03
    294.0  0.5338E+00  0.2736E-03  0.2751E-03  0.4007E-03  0.4007E-03
    295.0  0.5361E+00  0.6235E-03  0.6269E-03  0.8809E-03  0.8809E-03
    296.0  0.5485E+00  0.1328E-02  0.1335E-02  0.1895E-02  0.1895E-02
    297.0  0.5094E+00  0.2317E-02  0.2329E-02  0.3422E-02  0.3422E-02
    298.0  0.5075E+00  0.4063E-02  0.4084E-02  0.6214E-02  0.6214E-02
    299.0  0.4805E+00  0.6269E-02  0.6301E-02  0.9951E-02  0.9951E-02
    300.0  0.4636E+00  0.9420E-02  0.9468E-02  0.1553E-01  0.1553E-01
    301.0  0.4586E+00  0.1395E-01  0.1402E-01  0.2358E-01  0.2358E-01
    302.0  0.4812E+00  0.2026E-01  0.2036E-01  0.3403E-01  0.3403E-01
    303.0  0.5856E+00  0.3377E-01  0.3394E-01  0.5630E-01  0.5630E-01
    304.0  0.6283E+00  0.4489E-01  0.4510E-01  0.7469E-01  0.7469E-01
    305.0  0.6247E+00  0.5743E-01  0.5771E-01  0.9565E-01  0.9565E-01
    306.0  0.5859E+00  0.6441E-01  0.6472E-01  0.1072E+00  0.1072E+00
    307.0  0.6042E+00  0.8023E-01  0.8060E-01  0.1355E+00  0.1355E+00
    308.0  0.6334E+00  0.9737E-01  0.9782E-01  0.1680E+00  0.1680E+00
    309.0  0.5770E+00  0.9956E-01  0.1000E+00  0.1701E+00  0.1701E+00
    310.0  0.5712E+00  0.1146E+00  0.1151E+00  0.1931E+00  0.1931E+00
    311.0  0.7129E+00  0.1555E+00  0.1562E+00  0.2595E+00  0.2595E+00
    312.0  0.7103E+00  0.1713E+00  0.1721E+00  0.2833E+00  0.2833E+00
    313.0  0.6991E+00  0.1834E+00  0.1842E+00  0.3008E+00  0.3008E+00
    314.0  0.7049E+00  0.1977E+00  0.1985E+00  0.3218E+00  0.3218E+00
    315.0  0.6661E+00  0.2014E+00  0.2023E+00  0.3254E+00  0.3254E+00
    316.0  0.6287E+00  0.1999E+00  0.2007E+00  0.3211E+00  0.3211E+00
    317.0  0.7220E+00  0.2417E+00  0.2427E+00  0.3864E+00  0.3864E+00
