0.5	0.376		
0.51	0.3805		
0.52	0.385		
0.53	0.39		
0.54	0.395		
0.55	0.3985		
0.56	0.402		
0.57	0.4055		
0.58	0.409		
0.59	0.412		
0.6	0.415		
0.61	0.416		
0.62	0.417		
0.63	0.418		
0.64	0.419		
0.65	0.421		
0.66	0.423		
0.67	0.425		
0.68	0.427		
0.69	0.428		
0.7	0.429		
0.71	0.43		
0.72	0.431		
0.73	0.4315		
0.74	0.432		
0.75	0.433		
0.76	0.434		
0.77	0.4335		
0.78	0.433		
0.79	0.4325		
0.8	0.432		
0.81	0.432		
0.82	0.432		
0.83	0.4315		
0.84	0.431		
0.85	0.4305		
0.86	0.43		
0.87	0.4295		
0.88	0.429		
0.89	0.4285		
0.9	0.428		
0.91	0.4275		
0.92	0.427		
0.93	0.4265		
0.94	0.426		
0.95	0.4255		
0.96	0.425		
0.97	0.425		
0.98	0.425		
0.99	0.43		
1	0.435		
1.01	0.44		
1.02	0.445		
1.03	0.45		
1.04	0.455		
1.05	0.456		
1.06	0.457		
1.07	0.457		
1.08	0.457		
1.09	0.4525		
1.1	0.448		
1.11	0.426		
1.12	0.404		
1.13	0.3885		
1.14	0.373		
1.15	0.3675		
1.16	0.362		
1.17	0.361		
1.18	0.36		
1.19	0.3635		
1.2	0.367		
1.21	0.375		
1.22	0.383		
1.23	0.3855		
1.24	0.388		
1.25	0.389		
1.26	0.39		
1.27	0.3895		
1.28	0.389		
1.29	0.3865		
1.3	0.384		
1.31	0.381		
1.32	0.378		
1.33	0.373		
1.34	0.368		
1.35	0.3575		
1.36	0.347		
1.37	0.333		
1.38	0.319		
1.39	0.283		
1.4	0.247		
1.41	0.2295		
1.42	0.212		
1.43	0.1945		
1.44	0.177		
1.45	0.168		
1.46	0.159		
1.47	0.1565		
1.48	0.154		
1.49	0.154		
1.5	0.154		
1.51	0.1655		
1.52	0.177		
1.53	0.2025		
1.54	0.228		
1.55	0.2455		
1.56	0.263		
1.57	0.2785		
1.58	0.294		
1.59	0.299		
1.6	0.304		
1.61	0.306		
1.62	0.308		
1.63	0.31		
1.64	0.312		
1.65	0.3125		
1.66	0.313		
1.67	0.3125		
1.68	0.312		
1.69	0.309		
1.7	0.306		
1.71	0.299		
1.72	0.292		
1.73	0.273		
1.74	0.254		
1.75	0.247		
1.76	0.24		
1.77	0.238		
1.78	0.236		
1.79	0.2365		
1.8	0.237		
1.81	0.2395		
1.82	0.242		
1.83	0.2435		
1.84	0.245		
1.85	0.234		
1.86	0.223		
1.87	0.1635		
1.88	0.104		
1.89	0.09		
1.9	0.076		
1.91	0.0695		
1.92	0.063		
1.93	0.0605		
1.94	0.058		
1.95	0.056		
1.96	0.054		
1.97	0.056		
1.98	0.058		
1.99	0.0765		
2	0.095		
2.01	0.115		
2.02	0.135		
2.03	0.1355		
2.04	0.136		
2.05	0.137		
2.06	0.138		
2.07	0.137		
2.08	0.136		
2.09	0.133		
2.1	0.13		
2.11	0.124		
2.12	0.118		
2.13	0.112		
2.14	0.106		
2.15	0.1035		
2.16	0.101		
2.17	0.0995		
2.18	0.098		
2.19	0.097		
2.2	0.096		
2.21	0.096		
2.22	0.096		
2.23	0.0965		
2.24	0.097		
2.25	0.0975		
2.26	0.098		
2.27	0.0965		
2.28	0.095		
2.29	0.0935		
2.3	0.092		
2.31	0.0875		
2.32	0.083		
2.33	0.079		
2.34	0.075		
2.35	0.0725		
2.36	0.07		
2.37	0.068		
2.38	0.066		
2.39	0.063		
2.4	0.06		
2.41	0.0575		
2.42	0.055		
2.43	0.0545		
2.44	0.054		
2.45	0.0535		
2.46	0.053		
2.47	0.053		
2.48	0.053	
